Quality_Score,Species,Owner,Country of Origin,Company,Altitude,Region,Producer,Number of Bags,In-Country Partner,Harvest Year,Grading Date,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Color,Category Two Defects,Certification Body,date_diff
90.58,Arabica,metad plc,Ethiopia,METAD Agricultural Developmet plc,1950-2200,GUJI-HAMBELA/GOYO,METAD PLC,300,METAD Agricultural Development plc,2014-01-01 00:00:00,2015-04-04,Other,Completed,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,Sample  90.58,12%,0 full defects,Green,0 full defects,METAD Agricultural Development plc,365
89.92,Arabica,metad plc,Ethiopia,METAD Agricultural Developmet plc,1950-2200,GUJI-HAMBELA/ALAKA,METAD PLC,300,METAD Agricultural Development plc,2014-01-01 00:00:00,2015-04-04,Other,Completed,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,Sample  89.92,12%,0 full defects,Green,1 full defects,METAD Agricultural Development plc,365
89.75,Arabica,Grounds for Health Admin,Guatemala,N/A,1600 - 1800 m,Unknown,N/A,5,Specialty Coffee Association,N/A,2010-05-31,Bourbon,Completed,Other,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,Sample  89.75,0%,0 full defects,None,0 full defects,Specialty Coffee Association,365
89.0,Arabica,Yidnekachew Dabessa,Ethiopia,Yidnekachew Debessa Coffee Plantation,1800-2200,Oromia,Yidnekachew Dabessa Coffee Plantation,320,METAD Agricultural Development plc,2014-01-01 00:00:00,2015-03-26,Other,Completed,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,Sample  89.00,11%,0 full defects,Green,2 full defects,METAD Agricultural Development plc,365
88.83,Arabica,metad plc,Ethiopia,METAD Agricultural Developmet plc,1950-2200,GUJI-HAMBELA/BISHAN FUGU,METAD PLC,300,METAD Agricultural Development plc,2014-01-01 00:00:00,2015-04-04,Other,Completed,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,Sample  88.83,12%,0 full defects,Green,2 full defects,METAD Agricultural Development plc,365
88.83,Arabica,Ji-Ae Ahn,Brazil,N/A,N/A,Unknown,N/A,100,Specialty Coffee Institute of Asia,2013-01-01 00:00:00,2013-09-03,Other,Completed,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,Sample  88.83,11%,0 full defects,Bluish-Green,1 full defects,Specialty Coffee Institute of Asia,365
88.75,Arabica,Hugo Valdivia,Peru,Richmond Investment-coffee department,N/A,Unknown,HVC,100,Specialty Coffee Institute of Asia,2012-01-01 00:00:00,2012-09-17,Other,Completed,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,Sample  88.75,11%,0 full defects,Bluish-Green,0 full defects,Specialty Coffee Institute of Asia,365
88.67,Arabica,Ethiopia Commodity Exchange,Ethiopia,N/A,1570-1700,Oromia,Bazen Agricultural & Industrial Dev't Plc,300,Ethiopia Commodity Exchange,2010-01-01 00:00:00,2010-09-02,Other,Completed,Other,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,Sample  88.67,3%,0 full defects,None,0 full defects,Ethiopia Commodity Exchange,365
88.42,Arabica,Ethiopia Commodity Exchange,Ethiopia,N/A,1570-1700,Oromiya,Bazen Agricultural & Industrial Dev't Plc,300,Ethiopia Commodity Exchange,2010-01-01 00:00:00,2010-09-02,Other,Completed,Other,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,Sample  88.42,3%,0 full defects,None,0 full defects,Ethiopia Commodity Exchange,365
88.25,Arabica,Diamond Enterprise Plc,Ethiopia,DIAMOND ENTERPRISE PLC,1795-1850,"SNNP/Kaffa Zone,GimboWereda",Diamond Enterprise Plc,50,METAD Agricultural Development plc,2014-01-01 00:00:00,2015-03-30,Other,Completed,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,Sample  88.25,10%,0 full defects,Green,4 full defects,METAD Agricultural Development plc,365
