Quality_Score,Species,Owner,Country of Origin,Farm Name,Company,Altitude,Region,Producer,Number of Bags,In-Country Partner,Harvest Year,Grading Date,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Sweetness,Body,Uniformity,Clean Cup,Balance,Cupper Points,Total Cup Points,Moisture,Category One Defects,Color,Category Two Defects,Certification Body,date_diff
83.75,Robusta,Ankole coffee producers coop,Uganda,Kyangundu cooperative society,Ankole Coffee Producers Coop,1488,Sheema South Western,Ankole coffee producers coop,300,Uganda Coffee Development Authority,2013-01-01,2014-06-26,Other,Completed,NA,7.83,8.08,7.75,7.92,8.0,8.25,10.0,10.0,7.92,8.0,Sample  83.75,12 %,0 full defects,Green,2 full defects,Uganda Coffee Development Authority,365
83.5,Robusta,Nishant Gurjer,India,Sethuraman Estate Kaapi Royale,Kaapi Royale,3170,Chikmagalur Karnataka Indua,Nishant Gurjer Kaapi Royale,320,Specialty Coffee Association,2017-01-01,2017-10-31,Other,Completed,Washed / Wet,8.0,7.75,7.92,8.0,8.0,7.92,10.0,10.0,7.92,8.0,Sample  83.50,0 %,0 full defects,NA,2 full defects,Specialty Coffee Association,365
83.25,Robusta,Andrew Hetzel,India,Sethuraman Estate,Sethuraman Estate,1000m,Chikmagalur,Nishant Gurjer,300,Specialty Coffee Association,2015-01-01,2015-04-30,Other,Completed,NA,7.92,7.83,7.92,8.0,7.83,7.83,10.0,10.0,7.92,8.0,Sample  83.25,0 %,0 full defects,Green,0 full defects,Specialty Coffee Association,365
83.0,Robusta,UGACOF,Uganda,UGACOF project area,UGACOF Ltd,1212,Central,UGACOF,320,Uganda Coffee Development Authority,2013-01-01,2014-07-14,Other,Completed,NA,8.0,7.92,7.92,7.75,7.75,7.83,10.0,10.0,7.75,8.08,Sample  83.00,12 %,0 full defects,Green,7 full defects,Uganda Coffee Development Authority,365
83.0,Robusta,Katuka Development Trust Ltd,Uganda,Katikamu capca farmers association,Katuka Development Trust Ltd,1200-1300,Luwero central region,Katuka Development Trust Ltd,1,Uganda Coffee Development Authority,2013-01-01,2014-06-26,Other,Completed,NA,8.33,7.83,7.83,7.75,7.58,8.25,10.0,10.0,7.75,7.67,Sample  83.00,12 %,0 full defects,Green,3 full defects,Uganda Coffee Development Authority,365
82.75,Robusta,Andrew Hetzel,India,NA,"Cafemakers, LLC","3,000'",Chikmagalur,Sethuraman Estates,200,Specialty Coffee Association,2012-01-01,2012-02-29,Other,Completed,NA,8.0,7.92,7.67,8.0,7.75,7.75,10.0,10.0,7.92,7.75,Sample  82.75,0 %,0 full defects,Green,0 full defects,Specialty Coffee Association,365
82.58,Robusta,Andrew Hetzel,India,Sethuraman Estates,CafeMakers,750m,Chikmagalur,Nishant Gurjer,320,Specialty Coffee Association,2014-01-01,2014-05-15,Other,Completed,NA,7.67,7.75,7.83,7.83,8.0,7.92,10.0,10.0,7.75,7.83,Sample  82.58,0 %,0 full defects,Green,0 full defects,Specialty Coffee Association,365
82.5,Robusta,Nishant Gurjer,India,Sethuraman Estate Kaapi Royale,Kaapi Royale,3140,Chikmagalur Karnataka India,Nishant Gurjer Kaapi Royale,320,Specialty Coffee Association,2017-01-01,2017-10-25,Other,Completed,Washed / Wet,7.67,7.75,7.83,7.67,7.92,7.92,10.0,10.0,7.83,7.92,Sample  82.50,10 %,0 full defects,Bluish-Green,0 full defects,Specialty Coffee Association,365
82.5,Robusta,Nishant Gurjer,India,Sethuraman Estate,Kaapi Royale,1000,Chikmagalur Karnataka,Sethuraman Estate Kaapi Royale,320,Specialty Coffee Association,2015-01-01,2016-08-17,Other,Completed,Washed / Wet,7.67,7.75,7.58,7.83,7.92,7.83,10.0,10.0,8.0,7.92,Sample  82.50,9 %,0 full defects,Green,0 full defects,Specialty Coffee Association,365
82.42,Robusta,UGACOF,Uganda,Ishaka,UGACOF Ltd,900-1300,Western,Nsubuga Umar,320,Uganda Coffee Development Authority,2014-01-01,2014-08-05,Other,Completed,NA,7.67,7.83,7.83,7.83,7.75,7.92,10.0,10.0,7.75,7.83,Sample  82.42,12 %,0 full defects,Green,6 full defects,Uganda Coffee Development Authority,365
